439: X: 0.675888, Y: 0.474945, Z: 0.563563
440: X: 0.409746, Y: 0.181595, Z: 0.893942
441: X: 0.031766, Y: -0.161306, Z: 0.986393
442: X: -0.357214, Y: -0.462271, Z: 0.811606
443: X: -0.649688, Y: -0.637636, Z: 0.413915
444: X: -0.696594, Y: -0.591885, Z: -0.405498
445: X: -0.646333, Y: -0.449857, Z: -0.616346
446: X: -0.384952, Y: -0.118867, Z: -0.915250
447: X: -0.022911, Y: 0.242567, Z: -0.969864
448: X: 0.344246, Y: 0.539163, Z: -0.768634
449: X: 0.620423, Y: 0.693823, Z: -0.365629
450: X: 0.733227, Y: 0.666753, Z: 0.133490
451: X: 0.652360, Y: 0.465093, Z: 0.598427
452: X: 0.397301, Y: 0.140559, Z: 0.906860
453: X: 0.033213, Y: -0.223194, Z: 0.974208
454: X: -0.342810, Y: -0.529084, Z: 0.776242
455: X: -0.625608, Y: -0.690495, Z: 0.363086
456: X: -0.659859, Y: -0.590586, Z: -0.464536
457: X: -0.618839, Y: -0.424959, Z: -0.660642
458: X: -0.372891, Y: -0.057250, Z: -0.926107
459: X: -0.029673, Y: 0.323952, Z: -0.945608
460: X: 0.320765, Y: 0.618939, Z: -0.716954
461: X: 0.586941, Y: 0.751600, Z: -0.300995
462: X: 0.699116, Y: 0.688245, Z: 0.193795
463: X: 0.627084, Y: 0.445551, Z: 0.638945
464: X: 0.387648, Y: 0.085381, Z: 0.917845
465: X: 0.041152, Y: -0.300370, Z: 0.952935
466: X: -0.319957, Y: -0.608515, Z: 0.726180
467: X: -0.592987, Y: -0.749068, Z: 0.295405
468: X: -0.622591, Y: -0.577187, Z: -0.528427
469: X: -0.593687, Y: -0.386251, Z: -0.705936
470: X: -0.370805, Y: 0.020412, Z: -0.928486
471: X: -0.051073, Y: 0.419549, Z: -0.906295
472: X: 0.282050, Y: 0.707690, Z: -0.647782
473: X: 0.541646, Y: 0.811046, Z: -0.220964
474: X: 0.659612, Y: 0.703900, Z: 0.263507
475: X: 0.604158, Y: 0.414387, Z: 0.680644
476: X: 0.387447, Y: 0.015752, Z: 0.921758
477: X: 0.063080, Y: -0.391704, Z: 0.917927
478: X: -0.282267, Y: -0.698219, Z: 0.657887
479: X: -0.548215, Y: -0.809623, Z: 0.209693
480: X: -0.590766, Y: -0.550450, Z: -0.589915
481: X: -0.578179, Y: -0.333952, Z: -0.744436
482: X: -0.388634, Y: 0.110584, Z: -0.914732
483: X: -0.097103, Y: 0.523843, Z: -0.846262
484: X: 0.220474, Y: 0.799538, Z: -0.558686
485: X: 0.481036, Y: 0.867483, Z: -0.126795
486: X: 0.616031, Y: 0.711461, Z: 0.338125
487: X: 0.589207, Y: 0.372377, Z: 0.717057
488: X: 0.405154, Y: -0.064727, Z: 0.911954
489: X: 0.108146, Y: -0.491965, Z: 0.863872
490: X: -0.222406, Y: -0.792398, Z: 0.568014
491: X: -0.488122, Y: -0.866242, Z: 0.106595
492: X: -0.570800, Y: -0.513408, Z: -0.640781
493: X: -0.580551, Y: -0.273245, Z: -0.767006
494: X: -0.436224, Y: 0.203691, Z: -0.876481
495: X: -0.176920, Y: 0.625733, Z: -0.759709
496: X: 0.129633, Y: 0.884793, Z: -0.447590
497: X: 0.402858, Y: 0.915034, Z: -0.020433
498: X: 0.570630, Y: 0.710163, Z: 0.412371
